After_The_Rain_valence_rmse,After_The_Rain_valence_corr,After_The_Rain_arousal_rmse,After_The_Rain_arousal_corr,Attitude_Matters_valence_rmse,Attitude_Matters_valence_corr,Attitude_Matters_arousal_rmse,Attitude_Matters_arousal_corr,Barely_legal_stories_valence_rmse,Barely_legal_stories_valence_corr,Barely_legal_stories_arousal_rmse,Barely_legal_stories_arousal_corr,Between_Viewings_valence_rmse,Between_Viewings_valence_corr,Between_Viewings_arousal_rmse,Between_Viewings_arousal_corr,Big_Buck_Bunny_valence_rmse,Big_Buck_Bunny_valence_corr,Big_Buck_Bunny_arousal_rmse,Big_Buck_Bunny_arousal_corr,Chatter_valence_rmse,Chatter_valence_corr,Chatter_arousal_rmse,Chatter_arousal_corr,Cloudland_valence_rmse,Cloudland_valence_corr,Cloudland_arousal_rmse,Cloudland_arousal_corr,Damaged_Kung_Fu_valence_rmse,Damaged_Kung_Fu_valence_corr,Damaged_Kung_Fu_arousal_rmse,Damaged_Kung_Fu_arousal_corr,Decay_valence_rmse,Decay_valence_corr,Decay_arousal_rmse,Decay_arousal_corr,Elephant_s_Dream_valence_rmse,Elephant_s_Dream_valence_corr,Elephant_s_Dream_arousal_rmse,Elephant_s_Dream_arousal_corr,First_Bite_valence_rmse,First_Bite_valence_corr,First_Bite_arousal_rmse,First_Bite_arousal_corr,Full_Service_valence_rmse,Full_Service_valence_corr,Full_Service_arousal_rmse,Full_Service_arousal_corr,Islands_valence_rmse,Islands_valence_corr,Islands_arousal_rmse,Islands_arousal_corr,Lesson_Learned_valence_rmse,Lesson_Learned_valence_corr,Lesson_Learned_arousal_rmse,Lesson_Learned_arousal_corr,Norm_valence_rmse,Norm_valence_corr,Norm_arousal_rmse,Norm_arousal_corr,Nuclear_Family_valence_rmse,Nuclear_Family_valence_corr,Nuclear_Family_arousal_rmse,Nuclear_Family_arousal_corr,On_time_valence_rmse,On_time_valence_corr,On_time_arousal_rmse,On_time_arousal_corr,Origami_valence_rmse,Origami_valence_corr,Origami_arousal_rmse,Origami_arousal_corr,Parafundit_valence_rmse,Parafundit_valence_corr,Parafundit_arousal_rmse,Parafundit_arousal_corr,Payload_valence_rmse,Payload_valence_corr,Payload_arousal_rmse,Payload_arousal_corr,Riding_The_Rails_valence_rmse,Riding_The_Rails_valence_corr,Riding_The_Rails_arousal_rmse,Riding_The_Rails_arousal_corr,Sintel_valence_rmse,Sintel_valence_corr,Sintel_arousal_rmse,Sintel_arousal_corr,Spaceman_valence_rmse,Spaceman_valence_corr,Spaceman_arousal_rmse,Spaceman_arousal_corr,Superhero_valence_rmse,Superhero_valence_corr,Superhero_arousal_rmse,Superhero_arousal_corr,Tears_of_Steel_valence_rmse,Tears_of_Steel_valence_corr,Tears_of_Steel_arousal_rmse,Tears_of_Steel_arousal_corr,The_room_of_franz_kafka_valence_rmse,The_room_of_franz_kafka_valence_corr,The_room_of_franz_kafka_arousal_rmse,The_room_of_franz_kafka_arousal_corr,The_secret_number_valence_rmse,The_secret_number_valence_corr,The_secret_number_arousal_rmse,The_secret_number_arousal_corr,To_Claire_From_Sonny_valence_rmse,To_Claire_From_Sonny_valence_corr,To_Claire_From_Sonny_arousal_rmse,To_Claire_From_Sonny_arousal_corr,Wanted_valence_rmse,Wanted_valence_corr,Wanted_arousal_rmse,Wanted_arousal_corr,You_Again_valence_rmse,You_Again_valence_corr,You_Again_arousal_rmse,You_Again_arousal_corr
0.300282,-0.127383,0.279555,0.219788,0.288212,-0.017184,0.266671,0.023743,0.272341,0.147664,0.335396,0.378332,0.250167,0.175497,0.21062,0.080603,0.433581,0.056244,0.390535,0.292731,0.452525,-0.002476,0.47402,0.119878,0.255933,0.172783,0.267626,-0.078163,0.35323,0.04979,0.214375,0.02449,0.423959,0.14817,0.316064,-0.054303,0.334316,-0.119021,0.206652,0.349461,0.182199,-0.041874,0.213794,0.038581,0.4173,0.117158,0.289352,-0.15495,0.696313,-0.315479,0.182458,0.005382,0.43142,-0.239126,0.313325,0.0548,0.196444,-0.02476,0.21464,0.474095,0.291113,0.100112,0.198906,0.314711,0.296739,-0.167025,0.603502,-0.228485,0.428177,0.098,0.408568,0.108063,0.322838,-0.140724,0.23408,-0.156675,0.170505,0.105816,0.198311,0.239652,0.310404,-0.04911,0.217934,0.358151,0.3066,0.305534,0.324332,0.106901,0.302786,0.004858,0.22424,-0.03626,0.469379,-0.029056,0.225737,0.050269,0.172603,-0.086977,0.19469,-0.097406,0.159758,0.197502,0.524428,-0.038102,0.292182,0.06549,0.20614,0.138053,0.348591,0.558465,0.393587,-0.210074,0.512682,0.439787,0.36188,-0.671778,0.261623,-0.111292,0.156919,0.275974
0.252376,-0.320206,0.286516,-0.095386,0.258635,-0.075239,0.278899,0.030771,0.281704,0.136171,0.329842,0.024501,0.249342,0.131755,0.19767,0.053261,0.468747,0.143135,0.406661,0.18873,0.485925,0.146785,0.483163,0.033783,0.271938,0.12808,0.300627,0.07132,0.369388,0.040738,0.218416,0.096265,0.488636,0.160653,0.316647,-0.1573,0.325181,-0.082372,0.198246,-0.045899,0.171952,0.018333,0.251155,-0.038376,0.40192,0.124074,0.279606,-0.069831,0.77647,-0.3862,0.142141,0.015986,0.451164,-0.075578,0.296975,0.046847,0.176092,0.041111,0.230429,0.177837,0.294815,0.173911,0.218399,0.245962,0.299722,-0.114122,0.575799,-0.022504,0.45082,0.137556,0.372635,0.244647,0.301264,-0.197776,0.276264,-0.467493,0.255902,0.136116,0.188722,0.070626,0.311828,-0.012239,0.20584,0.126133,0.318369,0.289421,0.282166,-0.061275,0.292343,0.052866,0.248273,-0.182902,0.491118,-0.094592,0.236937,0.059311,0.178925,-0.093638,0.166387,0.109604,0.130443,0.159436,0.36731,0.16837,0.277505,0.088879,0.24903,-0.015594,0.355763,0.504587,0.404379,-0.188987,0.530528,0.544324,0.314338,-0.589373,0.278527,-0.174817,0.167365,0.158047
0.272995,-0.442106,0.287879,0.232348,0.281285,-0.010293,0.296685,0.128707,0.298328,-0.02729,0.320742,0.221444,0.235317,0.155327,0.21899,-0.089107,0.492222,-0.157673,0.414163,-0.062347,0.555925,-0.067247,0.507614,0.112458,0.271196,0.089044,0.341325,0.054686,0.374129,0.001219,0.20055,0.148379,0.682788,0.075476,0.32566,-0.103746,0.351601,-0.167638,0.23075,0.160601,0.190904,-0.142272,0.276514,0.012309,0.469753,0.020581,0.261343,0.024919,0.847521,-0.217542,0.125464,0.081378,0.516198,-0.081126,0.300989,0.045032,0.18661,0.06815,0.231154,0.120774,0.300694,-0.087805,0.229767,0.087604,0.372875,-0.441433,0.608887,-0.028186,0.545048,-0.328316,0.363935,0.046482,0.329596,-0.174801,0.270535,0.186168,0.44725,-0.489931,0.187559,0.060078,0.372614,-0.0383,0.222201,0.039157,0.364833,-0.078121,0.295887,-0.02086,0.340048,-0.332622,0.261949,0.026795,0.537023,-0.225505,0.238723,0.128148,0.237493,-0.227853,0.174519,0.185373,0.167168,-0.173302,0.308234,0.019055,0.255945,0.046115,0.318082,-0.092742,0.352123,0.492486,0.435111,0.07367,0.471904,-0.147779,0.519298,-0.345059,0.274793,0.05125,0.16446,0.015168
0.292124,-0.44681,0.316078,-0.167861,0.313231,-0.366582,0.278764,0.127873,0.313796,-0.188076,0.347843,0.04893,0.24297,-0.075895,0.208492,0.106181,0.594452,-0.260836,0.434156,0.126709,0.693421,-0.248328,0.50163,0.197696,0.270326,0.104153,0.347678,-0.01401,0.414566,-0.213114,0.205814,0.170083,1.014646,-0.05766,0.326412,-0.109025,0.436076,-0.401778,0.256322,0.153534,0.227096,-0.336218,0.305151,-0.010236,0.513897,-0.084135,0.251399,0.10719,1.003304,-0.389703,0.083867,0.417864,0.575641,-0.448302,0.315553,-0.093545,0.201123,-0.088822,0.251968,0.165404,0.355906,-0.126012,0.240663,-0.02971,0.42279,-0.372993,0.601025,-0.033694,0.66471,-0.472488,0.343539,-0.062291,0.361973,-0.356434,0.272496,0.028964,0.718122,-0.589431,0.19462,-0.031946,0.397566,-0.287963,0.225765,0.017534,0.456693,-0.189917,0.316861,-0.043335,0.365136,-0.268199,0.288129,-0.097967,0.576982,-0.223879,0.236679,0.048219,0.274549,-0.427841,0.186683,0.057863,0.183258,0.043541,0.23782,0.153733,0.282794,-0.39131,0.328231,-0.130119,0.355495,0.010919,0.462412,0.067163,0.517305,-0.009475,0.420961,0.067267,0.321172,-0.513131,0.163168,0.047481
0.358127,-0.411734,0.315852,0.007392,0.395198,0.038494,0.294514,-0.045346,0.350908,-0.255144,0.34595,0.025681,0.251742,-0.068396,0.235911,-0.011319,0.722302,-0.431775,0.457003,-0.090977,0.958369,0.017709,0.525504,-0.019778,0.285198,0.119387,0.362687,0.008297,0.495715,-0.212027,0.198415,0.184452,1.543137,-0.063684,0.332106,-0.1215,0.5746,-0.404935,0.256478,0.059201,0.293153,-0.256383,0.310833,0.023892,0.615472,-0.273726,0.25736,0.120773,1.261656,-0.665104,0.059842,0.360739,0.617236,-0.361711,0.320658,-0.112101,0.248077,-0.110086,0.242615,0.015287,0.463942,-0.355492,0.26167,0.017327,0.608157,-0.507324,0.620894,0.112419,0.961024,-0.525463,0.348921,-0.069543,0.375868,-0.178793,0.268053,0.194088,1.133744,-0.597965,0.19108,0.030045,0.433751,-0.154699,0.223883,0.085618,0.611414,-0.26667,0.314524,0.01712,0.384042,-0.043728,0.300033,-0.08222,0.634854,-0.168503,0.232752,0.119706,0.403436,-0.448092,0.199635,0.113666,0.225907,-0.026769,0.240735,0.087838,0.307136,-0.223393,0.341761,-0.05018,0.271738,0.260846,0.459992,-0.014621,0.452447,-0.029525,0.449682,-0.25882,0.3827,-0.410632,0.155069,0.008187
VALENCE,rmse,corr,ccc,shift
h0,0.336,0.515,0.091
h1,0.334,0.269,0.09,10
h2,0.359,0.103,0.068,10
h3,0.436,-0.145,-0.128,1
h4,0.57,-0.282,-0.273,1
h5,0.799,-0.36,-0.302,1
AROUSAL,rmse,corr,ccc,shift
h0,0.44,0.213,0.071
h1,0.279,0.305,0.215,25
h2,0.286,0.256,0.195,25
h3,0.293,0.235,0.192,25
h4,0.294,0.233,0.193,9
h5,0.303,0.214,0.187,25
