After_The_Rain_valence_rmse,After_The_Rain_valence_corr,After_The_Rain_arousal_rmse,After_The_Rain_arousal_corr,Attitude_Matters_valence_rmse,Attitude_Matters_valence_corr,Attitude_Matters_arousal_rmse,Attitude_Matters_arousal_corr,Barely_legal_stories_valence_rmse,Barely_legal_stories_valence_corr,Barely_legal_stories_arousal_rmse,Barely_legal_stories_arousal_corr,Between_Viewings_valence_rmse,Between_Viewings_valence_corr,Between_Viewings_arousal_rmse,Between_Viewings_arousal_corr,Big_Buck_Bunny_valence_rmse,Big_Buck_Bunny_valence_corr,Big_Buck_Bunny_arousal_rmse,Big_Buck_Bunny_arousal_corr,Chatter_valence_rmse,Chatter_valence_corr,Chatter_arousal_rmse,Chatter_arousal_corr,Cloudland_valence_rmse,Cloudland_valence_corr,Cloudland_arousal_rmse,Cloudland_arousal_corr,Damaged_Kung_Fu_valence_rmse,Damaged_Kung_Fu_valence_corr,Damaged_Kung_Fu_arousal_rmse,Damaged_Kung_Fu_arousal_corr,Decay_valence_rmse,Decay_valence_corr,Decay_arousal_rmse,Decay_arousal_corr,Elephant_s_Dream_valence_rmse,Elephant_s_Dream_valence_corr,Elephant_s_Dream_arousal_rmse,Elephant_s_Dream_arousal_corr,First_Bite_valence_rmse,First_Bite_valence_corr,First_Bite_arousal_rmse,First_Bite_arousal_corr,Full_Service_valence_rmse,Full_Service_valence_corr,Full_Service_arousal_rmse,Full_Service_arousal_corr,Islands_valence_rmse,Islands_valence_corr,Islands_arousal_rmse,Islands_arousal_corr,Lesson_Learned_valence_rmse,Lesson_Learned_valence_corr,Lesson_Learned_arousal_rmse,Lesson_Learned_arousal_corr,Norm_valence_rmse,Norm_valence_corr,Norm_arousal_rmse,Norm_arousal_corr,Nuclear_Family_valence_rmse,Nuclear_Family_valence_corr,Nuclear_Family_arousal_rmse,Nuclear_Family_arousal_corr,On_time_valence_rmse,On_time_valence_corr,On_time_arousal_rmse,On_time_arousal_corr,Origami_valence_rmse,Origami_valence_corr,Origami_arousal_rmse,Origami_arousal_corr,Parafundit_valence_rmse,Parafundit_valence_corr,Parafundit_arousal_rmse,Parafundit_arousal_corr,Payload_valence_rmse,Payload_valence_corr,Payload_arousal_rmse,Payload_arousal_corr,Riding_The_Rails_valence_rmse,Riding_The_Rails_valence_corr,Riding_The_Rails_arousal_rmse,Riding_The_Rails_arousal_corr,Sintel_valence_rmse,Sintel_valence_corr,Sintel_arousal_rmse,Sintel_arousal_corr,Spaceman_valence_rmse,Spaceman_valence_corr,Spaceman_arousal_rmse,Spaceman_arousal_corr,Superhero_valence_rmse,Superhero_valence_corr,Superhero_arousal_rmse,Superhero_arousal_corr,Tears_of_Steel_valence_rmse,Tears_of_Steel_valence_corr,Tears_of_Steel_arousal_rmse,Tears_of_Steel_arousal_corr,The_room_of_franz_kafka_valence_rmse,The_room_of_franz_kafka_valence_corr,The_room_of_franz_kafka_arousal_rmse,The_room_of_franz_kafka_arousal_corr,The_secret_number_valence_rmse,The_secret_number_valence_corr,The_secret_number_arousal_rmse,The_secret_number_arousal_corr,To_Claire_From_Sonny_valence_rmse,To_Claire_From_Sonny_valence_corr,To_Claire_From_Sonny_arousal_rmse,To_Claire_From_Sonny_arousal_corr,Wanted_valence_rmse,Wanted_valence_corr,Wanted_arousal_rmse,Wanted_arousal_corr,You_Again_valence_rmse,You_Again_valence_corr,You_Again_arousal_rmse,You_Again_arousal_corr
0.232716,-0.026309,0.309633,-0.130244,0.3277,0.15687,0.235076,0.047879,0.23289,0.27932,0.323413,0.472311,0.28417,0.243138,0.184696,0.052911,0.436191,-0.044834,0.472991,0.028844,0.365182,0.092372,0.489402,0.295406,0.236118,0.248921,0.167747,-0.001411,0.369522,0.311763,0.212487,-0.031518,0.425683,0.183305,0.322009,0.027106,0.308578,-0.047611,0.266883,0.514768,0.149048,0.038856,0.198296,-0.026027,0.467888,-0.011042,0.243007,-0.024296,0.675501,-0.238348,0.174943,-0.207583,0.32789,0.023214,0.344843,-0.052698,0.249551,0.207622,0.252818,0.497244,0.307637,0.042893,0.201885,0.066424,0.315948,-0.373513,0.568508,-0.131109,0.459032,-0.103003,0.425954,-0.133787,0.244035,-0.397812,0.21215,0.130978,0.138513,-0.036489,0.24276,0.01791,0.37168,0.070416,0.219909,0.400472,0.31531,0.227665,0.408165,0.259375,0.305542,-0.057029,0.196594,0.128935,0.389262,0.132339,0.227318,0.080304,0.216133,0.024263,0.191156,-0.00871,0.151703,0.189908,0.549518,0.255159,0.280964,0.149534,0.187954,0.076968,0.330246,0.742387,0.390064,0.136033,0.553924,0.587535,0.358815,-0.662154,0.268565,0.058927,0.149094,0.234034
0.206434,-0.291808,0.310005,-0.076007,0.388171,0.015031,0.229721,0.060835,0.231242,-0.047649,0.326507,0.214894,0.283659,0.0756,0.166536,0.083871,0.46889,-0.042963,0.415675,0.245402,0.313367,0.220292,0.462933,0.419794,0.231601,0.032975,0.172818,-0.002488,0.371179,0.104596,0.23011,0.082943,0.470041,0.14054,0.310393,0.01042,0.304473,0.034956,0.2533,0.01362,0.153017,0.002467,0.226643,-0.034322,0.48963,0.089377,0.241095,-0.166179,0.742302,-0.048625,0.094416,-0.152931,0.315026,-0.105233,0.319981,0.047546,0.277027,-0.119181,0.217882,0.491003,0.303349,0.087703,0.215258,0.24829,0.356972,-0.163666,0.562476,0.385765,0.485974,0.151955,0.35361,0.263531,0.231152,-0.183463,0.232621,-0.333497,0.130776,0.066456,0.203721,0.220667,0.393276,0.004438,0.198961,0.247043,0.312932,0.065133,0.387924,0.154291,0.306528,-0.051569,0.198672,0.112161,0.362556,0.145914,0.225305,-0.142771,0.257773,0.054006,0.18203,0.052679,0.145373,0.01926,0.550303,-0.207891,0.366384,-0.049737,0.246763,0.024687,0.336725,0.080526,0.401487,-0.200942,0.548155,-0.211118,0.403522,-0.651053,0.29854,-0.274793,0.17864,0.141766
0.207984,-0.390222,0.315723,-0.051529,0.430075,0.030485,0.228026,0.084113,0.229461,-0.077205,0.328109,0.222895,0.355715,-0.131284,0.153852,0.116189,0.479132,-0.133171,0.420999,0.256446,0.304845,0.023316,0.510055,0.386675,0.23272,0.141663,0.179056,-0.000232,0.400894,-0.05868,0.243134,-0.002073,0.550492,0.049646,0.320191,-0.105988,0.308428,-0.160497,0.271343,-0.079698,0.220528,0.151927,0.229304,-0.009674,0.519777,-0.006024,0.252846,-0.247503,0.802762,-0.063826,0.063508,0.021537,0.325406,-0.241035,0.318533,0.110036,0.284244,0.05638,0.221414,0.442613,0.333627,-0.021523,0.218963,0.229518,0.378047,-0.326639,0.561173,0.467803,0.501686,0.200882,0.333287,0.220923,0.259654,-0.494316,0.255154,-0.38802,0.130967,0.024846,0.20216,0.136144,0.429691,-0.062263,0.228208,0.2062,0.317162,0.043152,0.348499,0.099118,0.360512,-0.036747,0.204257,0.097465,0.37861,-0.111399,0.238042,-0.175511,0.280164,-0.02015,0.184,0.067402,0.170896,-0.304599,0.57487,-0.234982,0.434958,-0.197242,0.285343,-0.125079,0.369816,0.090255,0.405752,-0.221141,0.516552,-0.462739,0.438088,-0.632573,0.368662,-0.221018,0.170456,0.141594
0.238558,-0.372913,0.336616,-0.06024,0.441508,-0.010605,0.240093,-0.027093,0.241128,-0.068141,0.329543,0.055931,0.381867,-0.030197,0.146384,0.006311,0.50851,-0.125593,0.43134,0.166875,0.344697,-0.026,0.500004,0.282868,0.231119,0.185693,0.179275,-0.024605,0.387819,-0.061941,0.249809,0.053265,0.66542,-0.057379,0.32533,-0.081719,0.320143,-0.243534,0.274114,0.043851,0.248646,-0.134253,0.266656,-0.018236,0.49007,-0.202248,0.256515,-0.18001,0.805839,-0.203258,0.058326,-0.053066,0.363951,-0.207581,0.297594,0.063865,0.238041,0.056524,0.236825,0.398584,0.400897,-0.153223,0.230285,0.125325,0.334835,-0.351262,0.596867,0.112955,0.531538,-0.45763,0.319338,0.150284,0.283891,-0.572068,0.281216,-0.485807,0.146398,-0.216629,0.197517,0.134235,0.448643,-0.16787,0.212848,0.161869,0.323116,0.12143,0.332832,0.099469,0.339938,-0.097729,0.214376,0.069332,0.384053,0.049218,0.253065,-0.230369,0.301615,-0.410739,0.183321,-0.051612,0.181389,0.045228,0.606112,0.10171,0.515479,-0.204357,0.328358,-0.12059,0.390138,0.500644,0.445974,0.021971,0.567952,0.303165,0.558482,-0.451668,0.374497,-0.147589,0.165813,0.149186
0.276222,-0.390803,0.349326,0.108101,0.568673,-0.22608,0.240863,-0.068464,0.26967,-0.195196,0.320644,-0.12342,0.410054,-0.297644,0.146091,-0.225907,0.46484,-0.171197,0.453056,0.283289,0.346789,0.002686,0.503407,0.288865,0.263807,-0.19828,0.215044,-0.240957,0.398426,-0.093744,0.254091,-0.14133,0.81541,0.024186,0.349694,-0.23051,0.340615,-0.136745,0.263955,-0.138886,0.308327,-0.052221,0.369721,0.072267,0.47258,0.247217,0.268038,-0.215685,0.752379,0.081632,0.11191,0.06201,0.34741,0.403841,0.317085,0.007273,0.230009,-0.016853,0.24134,0.110554,0.366181,-0.128509,0.239906,0.055102,0.330781,-0.175033,0.582701,0.076406,0.579348,0.068139,0.302209,0.091401,0.399097,-0.189915,0.31788,-0.349904,0.232071,-0.037262,0.205923,0.168843,0.50503,0.126228,0.213208,0.088436,0.338768,0.08731,0.33952,0.074147,0.442601,0.215793,0.213312,0.130727,0.410601,0.042168,0.259763,-0.023562,0.337217,-0.012272,0.210192,0.054644,0.166542,0.271283,0.608424,-0.033134,0.562748,-0.180834,0.376162,-0.064942,0.409868,0.046358,0.437522,-0.134056,0.510258,-0.291002,0.601017,-0.545019,0.380476,-0.007469,0.168023,0.003573
VALENCE,rmse,corr,ccc,shift
h0,0.336,0.515,0.091
h1,0.339,0.189,0.064,10
h2,0.359,-0.048,-0.021,4
h3,0.398,-0.189,-0.131,3
h4,0.44,-0.245,-0.212,2
h5,0.499,-0.288,-0.28,2
AROUSAL,rmse,corr,ccc,shift
h0,0.44,0.213,0.071
h1,0.284,0.288,0.207,25
h2,0.28,0.289,0.211,25
h3,0.287,0.247,0.186,25
h4,0.297,0.202,0.164,25
h5,0.316,0.133,0.117,25
